local_basename	status	best_score	best_category	best_drive_name	candidate_score	candidate_category	candidate_drive_name	candidate_drive_id	has_xml
-Final_Chapter_1_Revision_Prompt-.txt	exact_or_contained	100	support_or_meta	-Final Chapter 1 Revision Prompt-	100	support_or_meta	-Final Chapter 1 Revision Prompt-	1b0h6T2DlMd-5sm1xGdF1e1Qrgddb2D-PU8P8GZ20Hk0	true
(D)_Chapter:_7_-_The_Pit.txt	exact_or_contained	100	chapter_like	(D)_Chapter__7_-_The_Pit	100	chapter_like	(D)_Chapter__7_-_The_Pit	1N_kgc1nQhcDdho0MgY1Niam7DVBsou3PgH8d4Vcct34	true
(Final)_Chapter_5_-_The_Snare.txt	exact_or_contained	100	chapter_like	(Final) Chapter 5 - The Snare	100	chapter_like	(Final) Chapter 5 - The Snare	1lMmVYvwHmYuExByWEwlh-rGpUbirDPG7uPeR4gFh37g	true
(G)_Chapter_2-_Living_Sacrifice.txt	probable	77	chapter_like	•(G) Chapter 2- Living Sacrifice	77	chapter_like	•(G) Chapter 2- Living Sacrifice	1lIqobbwQqWNyBdBuqqoXp9HDT2ddOQ8nxzWIyCWas0s	true
(G)_Chapter_3-_Lift_Up.txt	exact_or_contained	100	chapter_like	(G) Chapter 3- Lift Up	100	chapter_like	(G) Chapter 3- Lift Up	1XobNLLJg3YY72D9i_360V-UtttUbr_5mhgN1YdMsrTk	true
(G)_Final_)_Chapter:_10_-_Forsaken.txt	weak_review	67	chapter_like	Chapter 10.5	67	chapter_like	Chapter 10.5	1j7Uyiu5S0N_viG0-4dyEEMsjjGdcqawbnExK9zUs7pk	true
(Notes)_(P)_Chapter:_1_-_Stardust_to_Stardust.txt	exact_or_contained	100	support_or_meta	(Notes) (P) Chapter: 1 - Stardust to Stardust	100	support_or_meta	(Notes) (P) Chapter: 1 - Stardust to Stardust	1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	true
(P)_Chapter:_1_-_Stardust_to_Stardust.txt	probable	78	support_or_meta	(Notes) (P) Chapter: 1 - Stardust to Stardust	78	support_or_meta	(Notes) (P) Chapter: 1 - Stardust to Stardust	1a7wqHtTdQN9rxbcMsg2zJa-CPkqYu4rqdw2AwfjtHjs	true
(Prompt_Guide_(E))_Chapter_10:_Forsaken.txt	exact_or_contained	100	support_or_meta	(Prompt Guide (E)) Chapter 10: Forsaken	100	support_or_meta	(Prompt Guide (E)) Chapter 10: Forsaken	1HgITZ_aQyru0299o0N46Bd_y_Mrj7p33mnT_hxuBBTo	true
(Prompt_Guide_(E))_Chapter_10:_Forsaken.txt	exact_or_contained	100	support_or_meta	(Prompt Guide (E)) Chapter 10: Forsaken	67	chapter_like	Chapter 10.5	1j7Uyiu5S0N_viG0-4dyEEMsjjGdcqawbnExK9zUs7pk	true
