index	basename	title_query	sha256	bytes	local_path
1	(SDP)_v2.txt	(SDP)_v2	462f0ec432f3770717b510047fefd18e5cfadf54dcd02ee3a58137ac4e03f646	20901	src/data-layer/ingestion-buffer/gdrive_raw/(SDP)_v2.txt
2	10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt	10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus)	805f49679d7f49b759afe34f4de2facb56febdb7dfeb0e75a4b27b9b86ef1b74	4609	src/data-layer/ingestion-buffer/gdrive_raw/10.0_Blueprint_for_The_Ascent_of_Daniel:_The_Archetype_of_Sacrifice_(NYT_Bestseller_Focus).txt
3	12.0_Perfection.txt	12.0_Perfection	def5de7ba75333018c56a1778c4de9cb2372b9b5eecf0f43e4b1708e5186c839	6433	src/data-layer/ingestion-buffer/gdrive_raw/12.0_Perfection.txt
4	13.0_Claude.txt	13.0_Claude	989400fc0533181bae14222cc590154bba71b0486904e3a84c30fc37848d8df6	8216	src/data-layer/ingestion-buffer/gdrive_raw/13.0_Claude.txt
5	2.0_This_is_the_critical_adjustment—the_final_layer_that_elevates_philosophical_storytelling_into_timeless,_devastating_human_tragedy.txt	2.0_This_is_the_critical_adjustment—the_final_layer_that_elevates_philosophical_storytelling_into_timeless,_devastating_human_tragedy	5c3d4506d9ed9f8746249268ca6446468a01730d36ebfaa626d99a90f19ebc32	4533	src/data-layer/ingestion-buffer/gdrive_raw/2.0_This_is_the_critical_adjustment—the_final_layer_that_elevates_philosophical_storytelling_into_timeless,_devastating_human_tragedy.txt
6	3.0_Literary_&_Archetypal_Fusion_Rulebook_(The_Cat_God_&_The_Primal_Self).txt	3.0_Literary_&_Archetypal_Fusion_Rulebook_(The_Cat_God_&_The_Primal_Self)	089b3617b7dbc3b46ceb43a7053f55662dd11c5b931bc0b2453d8e66c5568a2d	5085	src/data-layer/ingestion-buffer/gdrive_raw/3.0_Literary_&_Archetypal_Fusion_Rulebook_(The_Cat_God_&_The_Primal_Self).txt
7	4.0_Emotional_&_Archetypal_Editing_Rulebook_(Visceral_Empathy_Focus).txt	4.0_Emotional_&_Archetypal_Editing_Rulebook_(Visceral_Empathy_Focus)	59ed13c0f886611dc08299da8b74306aa860383038e2a645b6436c04c9af25d8	3895	src/data-layer/ingestion-buffer/gdrive_raw/4.0_Emotional_&_Archetypal_Editing_Rulebook_(Visceral_Empathy_Focus).txt
8	4.0_Psychology_Guide.txt	4.0_Psychology_Guide	c8af75a24a78731af71893bfdfc5e579ec794f302c83a445f1e667dbd7dd0318	12831	src/data-layer/ingestion-buffer/gdrive_raw/4.0_Psychology_Guide.txt
9	4.0_REVISED.txt	4.0_REVISED	18dc5308391af436012eb9c191997c1df6eb653e86694e74d3dd5e2bf818a8a6	30624	src/data-layer/ingestion-buffer/gdrive_raw/4.0_REVISED.txt
10	6.0_Core_Editing_Rules_for_Thematic_&_Archetypal_Hyperlinking.txt	6.0_Core_Editing_Rules_for_Thematic_&_Archetypal_Hyperlinking	8806764ecf11b79fd52cd76012ca7ca16d3ebf04608cc9272a42ea59aa43788e	3736	src/data-layer/ingestion-buffer/gdrive_raw/6.0_Core_Editing_Rules_for_Thematic_&_Archetypal_Hyperlinking.txt
11	8._0_This_is_the_final,_most_crucial_step:_ensuring_the_narrative's_structure_is_so_perfectly_weighted_that_the_profound_sadness—the_weeping_of_self-recognition—is_not_a_chance_event,_but_an_earned,_inevitable_catharsis_for_the_reader.txt	8._0_This_is_the_final,_most_crucial_step:_ensuring_the_narrative's_structure_is_so_perfectly_weighted_that_the_profound_sadness—the_weeping_of_self-recognition—is_not_a_chance_event,_but_an_earned,_inevitable_catharsis_for_the_reader	c2728a04fac619b68d823b8435b642dddcd8e8a92954291e65f85a9dafce756b	4265	src/data-layer/ingestion-buffer/gdrive_raw/8._0_This_is_the_final,_most_crucial_step:_ensuring_the_narrative's_structure_is_so_perfectly_weighted_that_the_profound_sadness—the_weeping_of_self-recognition—is_not_a_chance_event,_but_an_earned,_inevitable_catharsis_for_the_reader.txt
12	9.0_Aesthetic.txt	9.0_Aesthetic	91decb7105e2fd2e9dcc9e7ecfff1d0b9e753a0718f63686d6643d83d60269b4	8465	src/data-layer/ingestion-buffer/gdrive_raw/9.0_Aesthetic.txt
13	9.0_Stones.txt	9.0_Stones	df4c319ba7dd2f13345fb32a9a9801599b210fccfcccaa5b8de4126a124ee609	3317	src/data-layer/ingestion-buffer/gdrive_raw/9.0_Stones.txt
14	The_-Version_X-_Meta-Prompt.txt	The_-Version_X-_Meta-Prompt	06b7414f7be3fde293b719c0fcbee8700a4d784aa36d35f5ab6871c054f6d8b5	2456	src/data-layer/ingestion-buffer/gdrive_raw/The_-Version_X-_Meta-Prompt.txt
15	The_scrape.txt	The_scrape	306d73cc10dde139ac497f709f17cb9db2f58ffe99e80e02d56059a3b65dab00	18320	src/data-layer/ingestion-buffer/gdrive_raw/The_scrape.txt
16	Whole_Book.txt	Whole_Book	518da3e2362c54d0b8a27f106b957a43966a894555a39d0e66dd9f94c6f3a6fc	23683	src/data-layer/ingestion-buffer/gdrive_raw/Whole_Book.txt
